contrast_type,evaluation_mode,candidate_pool,system,baseline,metric,n_queries,delta,ci_low,ci_high,p_value,p_value_corrected,significant,first_stage,reranker,depth
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,recall@5,177,0.06748477511189375,0.014525093550517303,0.12102700736175305,0.0121,0.0968,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,recall@5,177,0.09595103578154426,0.044256120527306965,0.14924670433145007,0.0003,0.0032999999999999995,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,recall@5,177,0.09434783672071807,0.03868524836745177,0.14962457504830384,0.0009,0.009,True,,,
vs_baseline,job_to_talent,full,qwen4,bm25,recall@5,177,0.10686281703230857,0.04796327377895176,0.16538875437180522,0.0002,0.0028,True,,,
vs_baseline,job_to_talent,full,qwen8,bm25,recall@5,177,0.11177024482109227,0.05289144471347861,0.17090866290018827,0.0002,0.0028,True,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,recall@5,177,-0.01977401129943503,-0.062146892655367235,0.021198210922787022,0.3601,1.0,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,recall@5,177,0.01195184288404627,-0.029715160075329563,0.053047148237826205,0.5722,1.0,False,,,
vs_baseline,job_to_talent,full,bge,bm25,ndcg@5,177,-0.049431776728787014,-0.08736854803572174,-0.013070568085856429,0.0093,0.0744,False,,,
vs_baseline,job_to_talent,full,bge-base,bm25,ndcg@5,177,-0.06942800504264642,-0.10444226290210847,-0.038322120859274646,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,ndcg@5,177,-0.054404591171525664,-0.09077718718397709,-0.020225036258286432,0.0028,0.0252,True,,,
vs_baseline,job_to_talent,full,jina,bm25,ndcg@5,177,0.038773141802376496,-0.004125593073176618,0.08183715874867284,0.0776,0.4656,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,ndcg@5,177,0.011323090911350944,-0.029187564679383535,0.05214676403958543,0.5839,1.0,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,ndcg@5,177,-0.0015882936491183565,-0.039111564555280615,0.03642409667603992,0.9326,1.0,False,,,
vs_baseline,job_to_talent,full,qwen,bm25,ndcg@5,177,0.036458575683742646,-0.006638472581315579,0.07881054591668045,0.0943,0.4715,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,ndcg@5,177,0.05495925002555165,0.011923417132474568,0.09834848849169332,0.0143,0.1001,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,ndcg@5,177,0.06962717680625448,0.02675139317178561,0.11318214433048764,0.0019,0.019,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,ndcg@5,177,0.07703913033223193,0.029647015484133205,0.12485429839157304,0.0017,0.018699999999999998,True,,,
vs_baseline,job_to_talent,full,qwen4,bm25,ndcg@5,177,0.08502244490634744,0.03676652977954209,0.13422741851950015,0.0003,0.0039,True,,,
