first_stage,reranker,depth,evaluation_mode,n_queries,first_stage_recall,hit@1,hit@1_ci_low,hit@1_ci_high,hit@1_std,recall@1,recall@1_ci_low,recall@1_ci_high,recall@1_std,ndcg@1,ndcg@1_ci_low,ndcg@1_ci_high,ndcg@1_std,hit@5,hit@5_ci_low,hit@5_ci_high,hit@5_std,recall@5,recall@5_ci_low,recall@5_ci_high,recall@5_std,ndcg@5,ndcg@5_ci_low,ndcg@5_ci_high,ndcg@5_std,hit@10,hit@10_ci_low,hit@10_ci_high,hit@10_std,recall@10,recall@10_ci_low,recall@10_ci_high,recall@10_std,ndcg@10,ndcg@10_ci_low,ndcg@10_ci_high,ndcg@10_std,hit@20,hit@20_ci_low,hit@20_ci_high,hit@20_std,recall@20,recall@20_ci_low,recall@20_ci_high,recall@20_std,ndcg@20,ndcg@20_ci_low,ndcg@20_ci_high,ndcg@20_std,hit@50,hit@50_ci_low,hit@50_ci_high,hit@50_std,recall@50,recall@50_ci_low,recall@50_ci_high,recall@50_std,ndcg@50,ndcg@50_ci_low,ndcg@50_ci_high,ndcg@50_std,hit@100,hit@100_ci_low,hit@100_ci_high,hit@100_std,recall@100,recall@100_ci_low,recall@100_ci_high,recall@100_std,ndcg@100,ndcg@100_ci_low,ndcg@100_ci_high,ndcg@100_std,mrr,mrr_ci_low,mrr_ci_high,mrr_std,mrr@10,mrr@10_ci_low,mrr@10_ci_high,mrr@10_std
bm25,jina,10,job_to_talent,177,0.1602660992491501,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021530865631784735,0.06779661016949153,0.03531073446327684,0.10451977401129943,0.017364736595562282,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021530865631784735,0.1864406779661017,0.12994350282485875,0.24858757062146894,0.02927915463108757,0.12250715386308607,0.08135577934306748,0.16807420451488247,0.022204562601260833,0.10527489849009154,0.06985069973322167,0.14531687822608683,0.019374169944242126,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11924296202009071,0.08348305735163751,0.1591151074941284,0.01948231045722497,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11921513804198688,0.08342740939542985,0.15907258717655365,0.019482618574488502,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11921513804198688,0.08342740939542985,0.15907258717655365,0.019482618574488502,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11921513804198688,0.08342740939542985,0.15907258717655365,0.019482618574488502,0.12944803156667564,0.08928061384629181,0.17463725226437088,0.021996076047274833,0.12944803156667564,0.08928061384629181,0.17463725226437088,0.021996076047274833
bm25,jina,20,job_to_talent,177,0.2220277838921907,0.0847457627118644,0.04519774011299435,0.12994350282485875,0.020742650548786604,0.06497175141242938,0.03389830508474576,0.10028248587570622,0.01716095703356121,0.0847457627118644,0.04519774011299435,0.12994350282485875,0.020742650548786604,0.2033898305084746,0.14689265536723164,0.2655367231638418,0.03054785907322598,0.1253723677452491,0.08459916966272898,0.16986902927580896,0.022059898565047073,0.10622797886701571,0.07125284385460744,0.1449088327367135,0.019055489573316455,0.2937853107344633,0.22598870056497175,0.3615819209039548,0.03418856949825768,0.17466431873211535,0.12843079707486488,0.22519575292880373,0.02481914339644849,0.1254818395987778,0.08967078425835324,0.16429891051452422,0.019265650836517174,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.14057952831928847,0.10383516379014882,0.17994083620387147,0.019450188010664893,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.14057952831928847,0.10383516379014882,0.17994083620387147,0.019450188010664893,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.14057952831928847,0.10383516379014882,0.17994083620387147,0.019450188010664893,0.1428382116941439,0.10335161150839116,0.1865167500813687,0.021466271523784126,0.13764684781633935,0.09757953322571968,0.18217682270648372,0.021616981141604194
bm25,jina,50,job_to_talent,177,0.39175715997749894,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021313744837132973,0.07062146892655367,0.038135593220338986,0.10875706214689265,0.01790698051441139,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021313744837132973,0.22598870056497175,0.1694915254237288,0.288135593220339,0.03141114409738961,0.14679421331963705,0.10352657935285055,0.1957542586885807,0.02351784377556944,0.1221916250517457,0.0851674110628844,0.16330795233968481,0.019957686727456486,0.2994350282485876,0.23728813559322035,0.3672316384180791,0.03435664897885336,0.19745579279477585,0.14765128586103163,0.251066124318243,0.026318929734918107,0.14035443740847886,0.10280449857229731,0.18156183761096767,0.020023808651177578,0.4124293785310734,0.3389830508474576,0.4858757062146893,0.03669548544069734,0.26224166605522536,0.20889151808643336,0.31983672988969597,0.028515929574679886,0.16126741977709652,0.1239643396361173,0.20225749884257593,0.01998197409817725,0.576271186440678,0.5028248587570622,0.6497175141242938,0.03689892368080766,0.39175715997749894,0.33184106500843785,0.45368420891725975,0.031143670002980545,0.19305106490706483,0.15617468344279323,0.23267747523057364,0.019561790877130586,0.576271186440678,0.5028248587570622,0.6497175141242938,0.03689892368080766,0.39175715997749894,0.33184106500843785,0.45368420891725975,0.031143670002980545,0.19305106490706483,0.15617468344279323,0.23267747523057364,0.019561790877130586,0.16396890881023815,0.12281134574002889,0.20885633507323192,0.021809939374612383,0.15011882342390817,0.10826545825486504,0.19568132902878663,0.022261922883166863
bm25,jina,100,job_to_talent,177,0.49740748893291264,0.07909604519774012,0.03954802259887006,0.11864406779661017,0.020043397615972108,0.06120527306967985,0.031073446327683617,0.0965160075329567,0.016836624224073556,0.07909604519774012,0.03954802259887006,0.11864406779661017,0.020043397615972108,0.22598870056497175,0.1694915254237288,0.288135593220339,0.03151932779792776,0.14373394966615305,0.1012241054613936,0.19181111967128914,0.023236535371531405,0.11391336479671535,0.07924495443374355,0.1531009805314714,0.01894217626933021,0.2937853107344633,0.23163841807909605,0.3615819209039548,0.034312445541707384,0.19759030987844547,0.1492462763225475,0.25091636706043485,0.026209839639961853,0.1332963593380282,0.09817738705565002,0.17281365357102113,0.019097251526134753,0.4293785310734463,0.3559322033898305,0.5028248587570622,0.03709030424126368,0.28581395064445914,0.23097767933573016,0.345575733118106,0.029221891058216883,0.15959417573828116,0.12427085666118581,0.19824508241083116,0.018973552086173216,0.5649717514124294,0.4915254237288136,0.6384180790960452,0.03689272546519153,0.39316347494313597,0.3334172077922078,0.4555328863697507,0.030901605371379447,0.18591862251352997,0.15089988717312494,0.22404941012999668,0.018653441290044977,0.672316384180791,0.6045197740112994,0.7401129943502824,0.03504167775653697,0.49740748893291264,0.43692162239831733,0.5595221127742315,0.031225880696174033,0.20662012519954512,0.17238733436728054,0.24371741647868775,0.018197910775486475,0.15390563419416398,0.11550815652189277,0.19660749488640966,0.020652828075609066,0.139570442112815,0.10030468119451169,0.183261815083849,0.021128727669723575
bm25,qwen,10,job_to_talent,177,0.1602660992491501,0.07344632768361582,0.03954802259887006,0.11299435028248588,0.01981680495343168,0.04990583804143126,0.023069679849340864,0.08192090395480225,0.014886924563528185,0.07344632768361582,0.03954802259887006,0.11299435028248588,0.01981680495343168,0.20903954802259886,0.15254237288135594,0.2711864406779661,0.030235182381305743,0.14246948907965856,0.0987245334702962,0.19143370753540243,0.023732263769298153,0.10995487169903588,0.07572284633603,0.14816828812875354,0.01858440852369712,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11714137023179066,0.08295012181671782,0.15530837887961313,0.018633316983941745,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11710540826178104,0.0829127379506735,0.15523645493959382,0.018633395777759826,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11710540826178104,0.0829127379506735,0.15523645493959382,0.018633395777759826,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.11710540826178104,0.0829127379506735,0.15523645493959382,0.018633395777759826,0.12968119451170299,0.09079213747645952,0.17333972289480762,0.021211267165305237,0.12968119451170299,0.09079213747645952,0.17333972289480762,0.021211267165305237
bm25,qwen,20,job_to_talent,177,0.2220277838921907,0.06779661016949153,0.03389830508474576,0.10734463276836158,0.019075229386225617,0.04369114877589454,0.018832391713747645,0.0739171374764595,0.014220602892139726,0.06779661016949153,0.03389830508474576,0.10734463276836158,0.019075229386225617,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03210409327591711,0.1508927042825348,0.1069669760559591,0.19934227260498444,0.023845420077744352,0.11565388795490723,0.08199610186155191,0.15353422178573314,0.018417832442812063,0.3107344632768362,0.24293785310734464,0.3785310734463277,0.03434705142029623,0.19458385305842935,0.14530501748722088,0.2467604923325262,0.026114025305246456,0.13009408279051352,0.09626619493142546,0.16751088285179375,0.01836771925736453,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.1392371059399117,0.10516808008347603,0.17667335252516936,0.018309040553103,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.1392371059399117,0.10516808008347603,0.17667335252516936,0.018309040553103,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.1392371059399117,0.10516808008347603,0.17667335252516936,0.018309040553103,0.1456932740831046,0.10758406964974764,0.18763334005918747,0.020701097673063,0.1418706842435656,0.10338943816698053,0.18411958568738226,0.020810167569798338
bm25,qwen,50,job_to_talent,177,0.39175715997749894,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021525133648711964,0.05875706214689266,0.029376177024482128,0.09227871939736346,0.016108999797751912,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021525133648711964,0.2824858757062147,0.22033898305084745,0.3502824858757062,0.03376250156398401,0.172220387898354,0.12578885097952894,0.22383217770929634,0.02482096772246938,0.13272073707725146,0.0966034209588225,0.17279709864054266,0.01941755673038993,0.3672316384180791,0.2994350282485876,0.4406779661016949,0.035748745387352635,0.24340927434147772,0.19019900885366992,0.29978672927825467,0.028032852028524943,0.15720992798954306,0.12067933257027824,0.19672207213512996,0.019475031574281123,0.4632768361581921,0.3898305084745763,0.536723163841808,0.03700172655272715,0.31440739110230637,0.2570642869371684,0.37411331841416595,0.030098343188764403,0.17832888181045958,0.14164701953705533,0.2177733496462205,0.019279670161166333,0.576271186440678,0.5028248587570622,0.6497175141242938,0.03689892368080766,0.39175715997749894,0.33184106500843785,0.45368420891725975,0.031143670002980545,0.19782812964798735,0.16198894753031792,0.23663559420689748,0.018959586139767105,0.576271186440678,0.5028248587570622,0.6497175141242938,0.03689892368080766,0.39175715997749894,0.33184106500843785,0.45368420891725975,0.031143670002980545,0.19782812964798735,0.16198894753031792,0.23663559420689748,0.018959586139767105,0.17699400847522295,0.13616893684650527,0.222412377330077,0.021993448511684673,0.16623845395031836,0.12459801811496729,0.2125173751233073,0.022372911154530082
bm25,qwen,100,job_to_talent,177,0.49740748893291264,0.096045197740113,0.05649717514124294,0.14124293785310735,0.022184833147772455,0.0564030131826742,0.028719397363465154,0.08888888888888888,0.015386696791244735,0.096045197740113,0.05649717514124294,0.14124293785310735,0.022184833147772455,0.2768361581920904,0.21468926553672316,0.3446327683615819,0.03341755228319517,0.16633526548780786,0.12100123511140462,0.2162015432778144,0.024333306474617077,0.13142335142335704,0.09642182603627977,0.17015502240468572,0.018956347654733967,0.3672316384180791,0.2994350282485876,0.4406779661016949,0.03601630614691341,0.2321972754176144,0.18037395749260154,0.2879474374495561,0.02754470918373922,0.15397065541494936,0.11801996822720362,0.1932902867886552,0.019200075139418783,0.4745762711864407,0.4011299435028249,0.5480225988700564,0.037104985813637,0.3210910558368185,0.26417773375400494,0.3809545515689583,0.02986134580057476,0.18080533219679004,0.1454540866668301,0.21980869513661389,0.018960204990571064,0.6271186440677966,0.5536723163841808,0.6949152542372882,0.03611890008048466,0.45964609778169097,0.39767218186709713,0.5223380903465649,0.03193960037907534,0.21362513162434002,0.17935676325392072,0.2511988131370336,0.018361880298426093,0.672316384180791,0.6045197740112994,0.7401129943502824,0.03504167775653697,0.49740748893291264,0.43692162239831733,0.5595221127742315,0.031225880696174033,0.22228961835573632,0.18830519684669766,0.25964046810815994,0.018210481953493934,0.18597387457213263,0.1438681826175986,0.2321445075546296,0.02250136295497429,0.1726257734732311,0.12961085328670077,0.21971880324634557,0.023028943313736172
bm25,qwen4,10,job_to_talent,177,0.1602660992491501,0.1016949152542373,0.062146892655367235,0.14689265536723164,0.02293430481029959,0.07707828894269572,0.0423728813559322,0.1172316384180791,0.018875778891725554,0.1016949152542373,0.062146892655367235,0.14689265536723164,0.02293430481029959,0.1977401129943503,0.14124293785310735,0.2598870056497175,0.029880031819089204,0.13098173013427253,0.08815008437889796,0.17849178834348323,0.022883787040981676,0.1163498801788522,0.07799977488493494,0.15937536050104537,0.020746510330720964,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.126981221724945,0.08883786973425938,0.1697654473826611,0.020742255865761384,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.12694525975493534,0.0888146054825072,0.16969442249189204,0.020742497394574795,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.12694525975493534,0.0888146054825072,0.16969442249189204,0.020742497394574795,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.12694525975493534,0.0888146054825072,0.16969442249189204,0.020742497394574795,0.14243341404358353,0.09901079499596449,0.19124983185364544,0.02350188916250818,0.14243341404358353,0.09901079499596449,0.19124983185364544,0.02350188916250818
bm25,qwen4,20,job_to_talent,177,0.2220277838921907,0.0847457627118644,0.04519774011299435,0.12994350282485875,0.02105302837670431,0.06252354048964218,0.031165254237288158,0.09783427495291902,0.01710214856533383,0.0847457627118644,0.04519774011299435,0.12994350282485875,0.02105302837670431,0.21468926553672316,0.15819209039548024,0.2768361581920904,0.03110099807816582,0.13610927678724288,0.092655275515445,0.18361594149729743,0.02336098816297179,0.11468470180709915,0.07803248702893173,0.15504204031130595,0.019761107345278497,0.2994350282485876,0.23728813559322035,0.3672316384180791,0.034324662794858164,0.18436300046469536,0.13605641768777363,0.23630851493139624,0.02558187645990379,0.1322977709083312,0.09527240488242153,0.1726735066787145,0.019819979721825302,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.1440744586913421,0.10749951669213116,0.18355472108288223,0.019694676806726166,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.1440744586913421,0.10749951669213116,0.18355472108288223,0.019694676806726166,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.1440744586913421,0.10749951669213116,0.18355472108288223,0.019694676806726166,0.1511163506926219,0.11057240037112918,0.19611233556148808,0.022070764129945214,0.14656757241503005,0.1052236907003856,0.1919839588377724,0.02222665163948737
